id, label
15669,0
15672,0
15674,1
15675,1
15676,0
15677,1
15679,1
15680,1
15682,0
15686,0
15688,0
15689,1
15691,0
15692,1
15694,1
15695,0
15696,0
15698,1
15702,1
15703,0
15704,1
15707,1
15708,0
15709,1
15710,0
15713,0
15715,0
15717,1
15719,1
15720,1
15721,0
15723,1
15725,0
15726,0
15727,0
15728,0
15729,0
15732,0
15733,0
15736,0
15737,0
15739,0
15742,1
15749,0
15751,1
15753,1
15757,1
15759,0
15762,0
15767,1
15768,1
15769,1
15772,1
15777,0
15778,0
15780,0
15782,1
15785,0
15790,0
15793,1
15797,0
15798,0
15800,0
15801,1
15803,0
15804,1
15805,0
15807,0
15808,1
15810,1
15811,0
15816,1
15817,1
15819,1
15821,0
15822,1
15823,1
15829,1
15831,0
15832,1
15833,0
15834,1
15836,1
15838,1
15840,0
15841,1
15842,0
15844,0
15845,1
15846,1
15847,0
15851,0
15852,1
15853,0
15854,1
15855,0
15856,1
15858,1
15859,0
15860,0
15861,1
15863,1
15864,0
15865,0
15866,0
15867,0
15868,0
15869,1
15870,0
15871,0
15872,1
15874,0
15875,0
15876,1
15877,0
15878,1
15879,1
15881,1
15885,1
15886,0
15888,0
15889,0
15890,0
15892,1
15893,1
15894,1
15895,0
15896,1
15897,1
15898,1
15899,1
15900,0
15901,0
15902,0
15903,0
15904,0
15906,1
15908,1
15909,0
15910,0
15911,1
15912,1
15913,1
15914,1
15916,0
15917,1
15918,0
15920,0
15921,0
15922,1
15923,1
15924,1
15925,1
15927,0
15928,1
15929,0
15930,1
15932,1
15933,1
15934,1
15937,1
15939,1
15942,0
15944,1
15949,0
15950,1
15951,1
15952,0
15953,1
15956,0
15959,1
15960,1
15961,1
15963,1
15964,0
15967,1
15968,1
15969,1
15970,1
15973,0
15975,1
15976,0
15977,0
15978,0
15979,1
15980,1
15981,0
15984,0
15985,1
15987,1
15988,0
15989,1
15993,1
15995,1
15996,1
15997,0
15999,1
16002,1
16003,0
16004,1
16005,0
16006,1
16007,0
16009,0
16012,0
16013,1
16014,1
16015,0
16016,1
16021,1
16022,1
16023,1
16026,0
16029,0
16030,1
16033,0
16037,1
16040,1
16041,0
16045,1
16052,0
16053,0
16055,1
16063,1
16066,1
16067,0
16068,1
16069,0
16071,0
16072,1
16074,1
16075,1
16076,1
16077,1
16079,1
16080,1
16083,0
16086,1
16088,1
16091,0
16093,0
16094,0
16095,1
16096,0
16097,0
16098,1
16099,1
16100,1
16103,0
16106,1
16107,0
16108,1
16110,0
16111,0
16112,1
16115,1
16117,1
16118,0
16119,1
16120,0
16122,0
16123,0
16125,1
16126,0
16130,1
16133,1
16134,1
16136,0
16139,0
16140,0
16141,0
16142,1
16143,0
16144,1
16145,0
16146,0
16147,1
16148,0
16149,0
16150,0
16152,1
16155,1
16158,1
16159,0
16161,0
16162,1
16163,0
16164,1
16166,1
16170,0
16171,0
16172,1
16173,0
16175,0
16176,1
16177,0
16179,1
16180,0
16185,1
16188,0
16189,1
16190,1
16193,0
16194,0
16195,0
16196,1
16197,1
16200,0
16201,0
16202,0
16203,1
16206,1
16207,1
16210,1
16211,1
16212,1
16213,1
16214,1
16215,1
16216,0
16219,0
16221,0
16223,0
16225,1
16226,1
16228,1
16230,0
16232,1
16233,1
16234,1
16236,0
16238,0
16241,0
16243,1
16244,0
16246,1
16247,1
16248,1
16250,0
16251,0
16252,1
16255,0
16256,0
16257,1
16258,1
16260,0
16262,0
16263,1
16264,0
16265,1
16266,1
16268,1
16269,1
16270,0
16271,1
16274,1
16275,1
16277,1
16278,0
16279,0
16281,1
16282,0
16283,0
16284,0
16285,1
16286,1
16287,1
16288,0
16289,1
16291,0
16294,1
16297,1
16298,0
16299,1
16300,0
16301,0
16302,0
16303,1
16304,1
16307,1
16310,0
16311,1
16312,0
16314,1
16315,0
16316,1
16317,0
16318,1
16319,0
16320,1
16324,0
16327,0
16331,0
16332,1
16336,0
16337,0
16339,0
16342,1
16343,1
16346,1
16347,0
16348,0
16350,0
16354,1
16357,1
16359,1
16360,1
16362,0
16363,0
16365,1
16366,0
16367,0
16369,0
16370,0
16371,0
16372,0
16374,1
16376,1
16377,0
16379,1
16380,0
16383,0
16385,0
16386,1
16388,0
16390,1
16392,1
16393,1
16394,0
16395,1
16396,0
16398,1
16399,0
16400,0
16401,1
16402,1
16403,0
16404,1
16405,0
16406,1
16407,1
16409,0
16410,0
16415,1
16417,0
16418,1
16419,1
16420,1
16421,0
16422,0
16424,1
16426,0
16427,0
16428,1
16429,0
16430,1
16432,0
16433,1
16434,1
16437,0
16438,0
16440,0
16441,1
16442,1
16443,1
16444,0
16448,0
16449,0
16450,0
16454,0
16457,1
16458,1
16459,0
16460,1
16461,0
16463,1
16465,1
16468,0
16469,0
16470,1
16471,0
16472,1
16473,1
16475,1
16476,1
16478,0
16479,1
16480,0
16481,0
16483,1
16486,1
16487,0
16488,1
16490,0
16492,1
16493,0
16495,0
16496,0
16499,0
16502,1
16505,1
16510,0
16512,1
16513,1
16518,1
16519,0
16521,1
16522,1
16523,0
16525,1
16527,1
16530,0
16531,0
16533,0
16538,0
16539,1
16545,1
16546,1
16549,1
16551,1
16554,0
16555,0
16561,1
16563,1
16564,1
16565,1
16568,1
16569,0
16570,1
16574,0
16577,1
16581,0
16583,1
16584,0
16585,1
16587,1
16588,1
16589,0
16590,1
16591,0
16592,1
16593,1
16597,1
16598,0
16599,0
16600,1
16601,0
16602,0
16604,0
16606,1
16607,0
16608,1
16610,1
16611,1
16615,0
16619,0
16621,0
16622,1
16623,0
16624,0
16625,1
16626,0
16627,0
16628,0
16630,1
16633,0
16635,0
16636,1
16638,0
16641,0
16642,0
16644,0
16645,0
16646,0
16648,1
16649,0
16650,0
16651,1
16652,1
16653,0
16654,0
16655,0
16656,0
16658,0
16662,1
16663,0
16664,1
16665,1
16667,0
16668,1
16670,1
16672,1
16675,1
16676,1
16677,1
16678,0
16679,1
16680,1
16681,1
16684,1
16685,1
16687,0
16688,0
16695,1
16698,1
16700,1
16705,0
16706,0
16707,1
16708,0
16710,0
16711,0
16714,1
16715,0
16717,1
16718,0
16719,0
16723,1
16725,1
16726,0
16727,1
16734,0
16735,1
16737,1
16739,1
16740,1
16743,0
16744,0
16745,0
16746,1
16747,0
16749,0
16750,0
16751,1
16752,1
16753,1
16754,0
16755,0
16759,0
16761,1
16762,0
16763,1
16765,0
16766,0
16767,1
16770,0
16772,0
16774,0
16775,0
16776,0
16777,1
16779,0
16783,0
16784,0
16787,0
16788,1
16790,1
16792,1
16794,0
16795,1
16796,1
16797,0
16798,0
16799,1
16800,1
16801,1
16802,1
16803,0
16804,1
16806,1
16807,0
16808,0
16809,1
16810,0
16811,0
16812,0
16813,1
16814,0
16815,0
16816,0
16817,0
16818,0
16819,0
16824,0
16825,0
16826,1
16833,1
16834,1
16835,1
16836,1
16837,0
16838,0
16839,1
16843,0
16848,0
16850,0
16851,1
16852,1
16853,0
16854,1
16856,0
16858,1
16865,1
16868,1
16871,1
16872,1
16873,1
16874,1
16875,0
16884,0
16885,1
16886,1
16888,1
16890,1
16893,1
16897,1
16903,1
16908,0
16909,0
16910,1
16911,0
16912,0
16913,0
16916,1
16917,1
16918,0
16921,1
16922,0
16923,0
16925,0
16926,1
16929,0
16932,1
16935,0
16936,1
16939,1
16940,1
16941,0
16942,1
16943,1
16944,0
16945,1
16946,0
16947,1
16948,1
16950,1
16951,0
16952,1
16953,0
16954,0
16955,0
16956,1
16957,0
16959,1
16960,0
16961,0
16962,1
16963,0
16964,0
16966,0
16967,1
16968,1
16969,0
16970,0
16971,0
16972,1
16973,0
16974,1
16975,1
16976,0
16977,0
16978,1
16979,1
16980,1
16981,0
16982,0
16983,1
16985,1
16986,0
16987,0
16988,0
16989,1
16990,0
16991,1
16992,0
16993,1
16995,0
16997,0
16998,0
17000,0
17001,0
17003,0
17004,1
17005,0
17007,1
17010,0
17011,1
17012,1
17015,0
17018,1
17021,1
17022,0
17023,1
17025,1
17027,0
17028,1
17031,1
17032,0
17034,1
17035,0
17036,1
17037,1
17038,1
17039,1
17041,1
17042,1
17044,1
17045,1
17046,0
17047,0
17048,1
17051,0
17052,1
17053,0
17054,0
17057,1
17058,0
17059,1
17060,0
17062,1
17063,0
17064,1
17065,1
17066,1
17067,1
17068,0
17069,1
17071,0
17072,0
17073,1
17074,1
17075,0
17076,0
17077,1
17078,1
17079,0
17080,1
17081,0
17082,1
17083,0
17084,1
17085,1
17086,0
17088,1
17089,1
17090,1
17091,1
17092,1
17093,1
17095,0
17096,0
17097,1
17098,0
17099,1
17100,1
17101,0
17102,0
17103,0
17105,1
17106,0
17108,1
17109,1
17110,0
17113,0
17115,0
17117,0
17118,1
17119,0
17122,1
17123,1
17125,1
17126,0
17127,1
17128,0
17129,0
17131,0
17132,0
17134,1
17135,1
17137,0
17138,0
17140,1
17141,0
17142,1
17143,0
17144,1
17145,0
17146,0
17147,1
17148,0
17149,0
17151,1
17152,1
17154,1
17155,0
17156,0
17157,0
17161,1
17163,0
17164,0
17165,0
17166,1
17167,1
17168,1
17169,1
17170,0
17171,1
17172,1
17173,1
17174,0
17176,0
17177,1
17178,0
17179,1
17180,0
17182,0
17183,1
17184,1
17185,0
17186,1
17187,1
17188,1
17190,1
17191,1
17193,1
17194,1
17196,1
17198,0
17199,1
17200,0
17201,0
17202,1
17204,0
17205,0
17206,1
17208,1
17209,0
17210,1
17211,1
17212,0
17213,1
17216,1
17221,1
17222,0
17223,0
17224,0
17225,0
17228,1
17229,0
17230,0
17231,0
17233,0
17236,0
17237,1
17238,0
17239,0
17240,0
17241,1
17243,1
17244,1
17245,0
17246,0
17247,0
17248,0
17250,0
17251,0
17254,1
17256,1
17257,1
17258,0
17260,1
17264,1
17265,0
17266,1
17267,0
17268,1
17269,1
17270,1
17273,0
17274,0
17275,1
17277,1
17279,1
17280,0
17282,0
17283,0
17284,0
17285,1
17287,0
17289,1
17291,1
17292,0
17293,0
17296,1
17298,1
17300,0
17301,0
17302,0
17303,0
17304,1
17305,0
17306,1
17307,1
17308,1
17311,0
17312,0
17313,0
17314,1
17315,1
17316,0
17317,1
17318,1
17319,1
17320,0
17322,1
17323,0
17325,0
17328,1
17329,0
17330,0
17332,1
17333,1
17334,1
17335,1
17337,1
17338,0
17340,1
17341,0
17342,1
17343,1
17346,0
17347,0
17349,0
17351,0
17352,1
17353,1
17354,0
17355,1
17356,1
17357,1
17358,0
17359,0
17361,0
17363,0
17364,0
17365,1
17366,1
17367,1
17369,0
17370,1
17372,0
17374,0
17375,1
17377,1
17378,1
17379,1
17380,0
17382,0
17383,0
17384,1
17385,1
17386,1
17387,0
17388,0
17389,0
17390,0
17391,0
17392,1
17393,1
17395,0
17396,0
17397,1
17398,0
17399,1
17400,0
17401,0
17402,1
17403,1
17405,1
17406,0
17408,0
17409,1
17410,1
17411,0
17412,1
17415,0
17416,1
17417,0
17419,0
17420,0
17421,1
17422,1
17423,1
17424,0
17426,1
17427,0
17428,1
17429,0
17430,1
17431,1
17432,0
17433,0
17434,1
17436,1
17440,0
17441,0
17442,0
17443,1
17445,0
17446,0
17448,0
17449,0
17452,0
17455,1
17457,0
17462,0
17463,0
17470,0
17472,1
17473,0
17477,1
17478,1
17479,0
17480,1
17481,1
17484,0
17486,1
17487,0
17488,1
17489,1
17491,0
17492,1
17493,1
17494,1
17499,0
17501,1
17502,0
17503,0
17506,0
17507,0
17509,1
17511,0
17513,0
17516,1
17518,0
17519,1
17521,0
17523,1
17529,0
17534,1
17538,0
17540,0
17543,1
17544,1
17545,1
17547,1
17551,1
17554,1
17556,1
17558,1
17559,0
17562,0
17563,0
17567,0
17568,0
17569,1
17573,0
17574,1
17576,1
17577,1
17579,1
17580,0
17584,0
17585,0
17589,0
17593,1
17595,1
17596,1
17597,0
17601,1
17607,0
17612,1
17616,1
17617,1
17618,1
17619,0
17620,0
17622,0
17625,0
17630,0
17632,1
17633,0
17640,0
17643,0
17644,0
17651,0
17652,0
17654,1
17655,1
17658,0
17659,0
17660,1
17661,1
17662,1
17664,1
17666,1
17669,1
17670,0
17671,1
17672,0
17673,0
17674,0
17677,1
17682,0
17683,0
17685,0
17686,0
17687,1
17688,1
17694,1
17698,1
17700,1
17701,1
17702,1
17703,1
17706,0
17707,0
17710,0
17712,1
17714,0
17716,1
17719,0
17722,0
17723,1
17727,0
17728,0
17731,1
17733,0
17738,1
17742,1
17743,0
17746,1
17748,1
17749,0
17750,0
17751,0
17752,0
17753,1
17755,0
17757,0
17758,0
17759,1
17760,0
17762,1
17763,1
17766,1
17767,0
17769,0
17770,1
17771,0
17773,1
17775,1
17776,0
17777,0
17780,1
17782,1
17783,1
17784,0
17785,0
17787,0
17788,1
17791,1
17792,1
17795,0
17798,0
17802,0
17805,1
17808,0
17809,1
17810,0
17811,0
17812,0
17813,1
17816,0
17822,1
17823,1
17825,1
17827,0
17829,1
17834,0
17835,1
17837,1
17839,1
17847,1
17848,0
17849,0
17853,1
17857,0
17860,1
17863,1
17864,1
17866,1
17867,0
17870,0
17871,0
17872,0
17873,1
17874,0
17875,1
17876,1
17877,0
17878,1
17880,1
17881,0
17883,0
17886,1
17887,0
17888,1
17892,1
17894,0
17896,1
17897,1
17899,0
17900,0
17901,0
17906,1
17907,1
17911,0
17913,1
17915,1
17916,1
17922,0
17923,1
17924,0
17925,1
17926,1
17927,1
17929,0
17930,1
17932,1
17933,0
17939,0
17943,1
17948,1
17950,1
17952,1
17955,0
17956,1
17957,0
17958,0
17960,0
17962,1
17963,1
17964,0
17965,0
17966,0
17967,0
17968,0
17970,0
17972,1
17973,1
17975,1
17978,0
17979,0
17980,1
17981,1
17984,1
17986,1
17988,0
17993,1
18001,1
18009,0
18010,0
18011,1
18012,1
18013,1
18014,1
18017,1
18024,1
18028,1
18029,0
18034,0
18035,1
18036,0
18037,0
18038,0
18040,0
18048,1
18050,1
18051,0
18052,0
18061,1
18062,1
18065,1
18066,0
18068,1
18071,1
18075,1
18079,0
18080,1
18085,1
18086,1
18093,0
18095,1
18096,0
18099,0
18101,0
18104,0
18106,0
18108,0
18109,0
18111,0
18120,1
18128,0
18135,0
18136,0
18138,0
18142,1
18145,0
18146,1
18148,0
18149,0
18150,0
18152,1
18155,0
18157,0
18158,1
18160,1
18166,1
18176,1
18177,0
18180,0
18182,0
18185,1
18186,1
18187,1
18188,0
18191,0
18205,1
18210,0
18213,1
18217,0
18221,1
18222,1
18223,1
18225,1
18228,0
18229,0
18231,1
18232,0
18234,0
18236,1
18238,0
18239,0
18242,1
18243,1
18249,1
18252,1
18253,0
18254,0
18257,1
18258,0
18263,0
18271,0
18275,0
18276,0
18277,1
18280,0
18281,1
18283,0
18294,1
18296,0
18297,1
18300,0
18302,1
18303,0
18306,1
18307,0
18308,0
18309,1
18311,1
18313,0
18317,0
18321,0
18323,1
18325,1
18326,0
18328,1
18329,1
18332,1
18334,1
18336,1
18337,0
18339,0
18340,1
18342,1
18345,0
18347,1
18348,1
18351,0
18352,1
18354,1
18355,1
18356,1
18357,0
18360,1
18362,1
18363,1
18366,1
18367,0
18370,1
18371,1
18372,1
18373,0
18374,0
18375,1
18376,1
18377,1
18378,1
18381,1
18382,1
18383,0
18385,0
18386,1
18387,0
18388,1
18389,0
18390,0
18391,0
18392,1
18393,1
18394,1
18395,0
18396,0
18397,0
18398,0
18399,0
18400,0
18401,0
18402,1
18403,1
18404,0
18405,0
18407,1
18408,0
18409,0
18411,1
18412,1
18413,0
18414,0
18415,0
18416,0
18417,0
18418,0
18419,0
18420,1
18421,1
18422,1
18423,1
18424,0
18425,1
18426,0
18427,1
18429,0
18430,1
18431,0
18432,0
18433,1
18435,1
18436,0
18437,0
18438,1
18443,1
18444,1
18445,0
18448,1
18452,1
18454,1
18455,1
18456,0
18457,0
18458,0
18459,0
18460,0
18461,0
18462,0
18463,0
18464,0
18465,1
18466,1
18467,0
18470,1
18472,1
18476,0
18479,1
18480,1
18481,1
18482,0
18483,1
18487,1
18488,1
18489,0
18490,0
18493,0
18495,0
18496,1
18497,0
18504,1
18509,0
18514,1
18519,0
18520,0
18521,0
18523,0
18524,1
18527,1
18530,1
18531,0
18533,1
18534,1
18536,1
18537,0
18538,1
18539,0
18540,1
18544,0
18549,1
18554,0
18557,0
18563,1
18564,0
18565,1
18566,0
18567,0
18569,0
18570,0
18571,1
18575,0
18576,0
18577,0
18585,1
18590,1
18591,1
18592,1
18595,0
18599,1
18600,0
18602,0
18604,1
18605,1
18606,1
18609,0
18610,1
18614,0
18616,0
18621,0
18625,0
18627,0
18638,0
18642,0
18643,1
18644,1
18646,1
18648,1
18651,0
18654,1
18655,1
18658,0
18660,0
18663,1
18664,0
18665,0
18667,0
18668,0
